method,m,n,k,trials,successes,failures,success_rate,min_iters,max_iters,mean_iters,runtime,mean_runtime
IHT,200,1000,1,500,500,0,1.0,25,26,25.96,32.508724752,65.14774499398797
IHT,200,1000,2,500,500,0,1.0,22,38,27.582,35.51705709200001,71.17646711823649
IHT,200,1000,3,500,500,0,1.0,22,40,30.128,37.17408754,74.49716941883767
IHT,200,1000,4,500,499,1,0.998,23,200,32.62,41.39059448500001,82.94708313627257
IHT,200,1000,6,500,500,0,1.0,25,49,36.666,41.15913668600001,82.48323985170343
IHT,200,1000,8,500,500,0,1.0,26,55,40.294,42.208076801000004,84.585324250501
IHT,200,1000,10,500,499,1,0.998,33,200,44.016,43.01470607600001,86.20181578356716
IHT,200,1000,12,500,500,0,1.0,36,70,47.518,44.251744514999984,88.6808507314629
IHT,200,1000,14,500,500,0,1.0,37,75,51.394,45.05756705199997,90.29572555511015
IHT,200,1000,16,500,500,0,1.0,41,81,54.588,46.028520248999996,92.24152354509017
IHT,200,1000,18,500,500,0,1.0,44,200,59.664,47.105648352,94.40009689779559
IHT,200,1000,20,500,499,1,0.998,46,200,63.562,48.89853117399997,97.99304844488971
IHT,200,1000,22,500,500,0,1.0,50,105,67.18,49.572439458000076,99.34356604809633
IHT,200,1000,24,500,499,1,0.998,53,200,72.808,51.21858139900007,102.64244769338693
IHT,200,1000,26,500,499,1,0.998,53,200,76.404,51.79121013700001,103.79000027454912
IHT,200,1000,28,500,500,0,1.0,58,200,82.242,53.20850089500004,106.63026231462933
IHT,200,1000,30,500,498,2,0.996,65,200,87.71,54.85221547399999,109.924279507014
IHT,200,1000,32,500,497,3,0.994,66,200,94.698,56.72376235599995,113.67487446092174
IHT,200,1000,34,500,495,5,0.99,69,200,100.258,58.00979991600002,116.2521040400802
IHT,200,1000,36,500,488,12,0.976,73,200,110.352,62.62583565399996,125.50267666132257
IHT,200,1000,38,500,482,18,0.964,73,200,118.77,62.18440129999999,124.61803867735469
IHT,200,1000,40,500,476,24,0.952,82,200,129.964,65.25581605699995,130.7731784709418
IHT,200,1000,42,500,455,45,0.91,84,200,140.93,67.60156374799999,135.47407564729457
IHT,200,1000,44,500,435,65,0.87,89,200,153.52,70.5710510890001,141.4249520821645
IHT,200,1000,46,500,397,103,0.794,96,200,165.626,78.32593283300002,156.9657972605211
IHT,200,1000,48,500,344,156,0.688,105,200,177.066,78.74840081299999,157.8124264789579
IHT,200,1000,50,500,297,203,0.594,116,200,185.362,80.45991492500002,161.24231447895795
IHT,200,1000,52,500,216,284,0.432,128,200,191.876,80.90406243100006,162.13238964128269
IHT,200,1000,54,500,171,329,0.342,137,200,196.708,82.03673419999996,164.40227294589167
IHT,200,1000,56,500,112,388,0.224,143,200,198.258,82.9060226470001,166.14433396192402
IHT,200,1000,58,500,81,419,0.162,152,200,199.29,82.663737094,165.65879177154306
IHT,200,1000,60,500,43,457,0.086,172,200,199.814,83.05988839200018,166.45268214829693
IHT,200,1000,64,500,8,492,0.016,200,200,200.0,83.20110711500001,166.73568560120245
IHT,200,1000,68,500,2,498,0.004,200,200,200.0,83.62048871399975,167.57612968737425
IHT,200,1000,72,500,0,500,0.0,200,200,200.0,83.17194645300015,166.6772474008019
IHT,200,1000,76,500,0,500,0.0,200,200,200.0,83.39319307200003,167.12062739879764
IHT,200,1000,80,500,0,500,0.0,200,200,200.0,83.83195947900003,167.99991879559127
IHT,200,1000,84,500,0,500,0.0,200,200,200.0,89.04026773300029,178.43741028657374
IHT,200,1000,88,500,0,500,0.0,200,200,200.0,83.7722166399999,167.88019366733445
IHT,200,1000,92,500,0,500,0.0,200,200,200.0,84.2051405090001,168.7477765711425
IHT,200,1000,96,500,0,500,0.0,200,200,200.0,84.62027281000019,169.5797050300605
IHT,200,1000,100,500,0,500,0.0,200,200,200.0,84.69171968899991,169.7228851482964
NIHT,200,1000,1,500,500,0,1.0,1,1,1.0,21.403814828999657,42.893416490981274
NIHT,200,1000,2,500,500,0,1.0,2,8,3.544,20.80190645699986,41.68718728857687
NIHT,200,1000,3,500,500,0,1.0,2,8,4.75,21.129919083000004,42.34452722044089
NIHT,200,1000,4,500,500,0,1.0,3,9,5.722,21.511854767000386,43.10992939278635
NIHT,200,1000,6,500,500,0,1.0,5,11,7.27,21.643059894999624,43.372865521041334
NIHT,200,1000,8,500,500,0,1.0,6,12,8.45,21.85059776900016,43.78877308416866
NIHT,200,1000,10,500,500,0,1.0,6,14,9.69,22.463692579999588,45.01741999999918
NIHT,200,1000,12,500,500,0,1.0,7,18,10.88,22.106280684000012,44.301163695390805
NIHT,200,1000,14,500,500,0,1.0,9,16,12.122,22.74722891300007,45.58562908416848
NIHT,200,1000,16,500,500,0,1.0,10,19,13.302,22.616887284999848,45.32442341683336
NIHT,200,1000,18,500,500,0,1.0,10,20,14.57,23.366056045000278,46.825763617235026
NIHT,200,1000,20,500,500,0,1.0,12,22,15.944,23.062203775999933,46.2168412344688
NIHT,200,1000,22,500,500,0,1.0,13,24,17.272,23.781958028999725,47.659234527053556
NIHT,200,1000,24,500,500,0,1.0,14,24,18.922,23.688229596000383,47.47140199599275
NIHT,200,1000,26,500,500,0,1.0,15,28,20.248,24.037185488999967,48.17071240280554
NIHT,200,1000,28,500,500,0,1.0,16,29,21.8,24.28069051300008,48.65869842284585
NIHT,200,1000,30,500,500,0,1.0,18,30,23.614,24.56158603899985,49.22161530861693
NIHT,200,1000,32,500,500,0,1.0,19,34,25.456,24.777120747000026,49.653548591182414
NIHT,200,1000,34,500,500,0,1.0,20,38,27.38,25.828121955999904,51.75976343887756
NIHT,200,1000,36,500,500,0,1.0,21,44,29.738,25.762522878000254,51.62830236072195
NIHT,200,1000,38,500,500,0,1.0,23,162,32.4,26.383729285999834,52.873204981963596
NIHT,200,1000,40,500,499,1,0.998,26,200,35.844,26.975287793999996,54.058692973947885
NIHT,200,1000,42,500,493,7,0.986,27,200,40.228,27.96317695400012,56.03843076953932
NIHT,200,1000,44,500,492,8,0.984,29,200,45.818,28.564557550000245,57.24360230460971
NIHT,200,1000,46,500,482,18,0.964,31,200,54.588,30.42666278300021,60.9752761182369
NIHT,200,1000,48,500,452,48,0.904,35,200,68.514,32.77131820600016,65.67398438076184
NIHT,200,1000,50,500,412,88,0.824,37,200,86.634,36.20485403800012,72.55481771142308
NIHT,200,1000,52,500,352,148,0.704,41,200,107.106,44.45786941699998,89.0939266873747
NIHT,200,1000,54,500,276,224,0.552,42,200,129.426,44.850067386999854,89.87989456312597
NIHT,200,1000,56,500,208,292,0.416,45,200,148.388,51.3887702789998,102.98350757314589
NIHT,200,1000,58,500,147,353,0.294,52,200,164.95,49.74002051300022,99.67939982565173
NIHT,200,1000,60,500,111,389,0.222,59,200,176.746,51.91991806499982,104.0479319939876
NIHT,200,1000,64,500,31,469,0.062,75,200,194.358,58.69363626200038,117.62251755911899
NIHT,200,1000,68,500,5,495,0.01,96,200,199.158,56.82683168599988,113.88142622444865
NIHT,200,1000,72,500,1,499,0.002,168,200,199.936,56.70776492599998,113.6428154829659
NIHT,200,1000,76,500,0,500,0.0,200,200,200.0,57.307780340000136,114.845251182365
NIHT,200,1000,80,500,0,500,0.0,200,200,200.0,57.443916933999844,115.11807000801572
NIHT,200,1000,84,500,0,500,0.0,200,200,200.0,57.52035716299997,115.2712568396793
NIHT,200,1000,88,500,0,500,0.0,200,200,200.0,57.909212749999824,116.05052655310585
NIHT,200,1000,92,500,0,500,0.0,200,200,200.0,58.263011484000344,116.7595420521049
NIHT,200,1000,96,500,0,500,0.0,200,200,200.0,58.159381283000585,116.55186629859837
NIHT,200,1000,100,500,0,500,0.0,200,200,200.0,58.39308275300027,117.02020591783622
HTP,200,1000,1,500,500,0,1.0,2,2,2.0,30.710383432000526,61.54385457314735
HTP,200,1000,2,500,500,0,1.0,2,3,2.288,34.27912951600047,68.69565033266626
HTP,200,1000,3,500,500,0,1.0,2,4,2.676,34.173494480000045,68.48395687374759
HTP,200,1000,4,500,499,1,0.998,2,12,2.94,34.35651836500074,68.8507382064143
HTP,200,1000,6,500,500,0,1.0,2,5,3.522,34.572081454,69.28272836472945
HTP,200,1000,8,500,500,0,1.0,2,6,3.896,34.37401359999967,68.88579879759453
HTP,200,1000,10,500,500,0,1.0,3,7,4.312,34.84512908200031,69.82991800000063
HTP,200,1000,12,500,500,0,1.0,3,7,4.66,34.48485679700025,69.1079294529063
HTP,200,1000,14,500,500,0,1.0,3,20,4.992,34.78926509199937,69.7179661162312
HTP,200,1000,16,500,500,0,1.0,4,8,5.222,34.92668677900019,69.9933602785575
HTP,200,1000,18,500,500,0,1.0,4,20,5.648,35.14049378100026,70.42183122444942
HTP,200,1000,20,500,499,1,0.998,4,20,5.95,35.181172876000346,70.50335245691453
HTP,200,1000,22,500,500,0,1.0,4,9,6.188,35.63462486499975,71.412073877755
HTP,200,1000,24,500,499,1,0.998,5,20,6.608,35.74750557100015,71.63828771743516
HTP,200,1000,26,500,497,3,0.994,5,20,6.958,35.68984545999956,71.5227363927847
HTP,200,1000,28,500,499,1,0.998,5,20,7.442,36.195241769999484,72.53555464929757
HTP,200,1000,30,500,495,5,0.99,5,20,7.734,36.421299911999995,72.9885769779559
HTP,200,1000,32,500,493,7,0.986,5,20,8.288,36.93484996999996,74.01773541082156
HTP,200,1000,34,500,492,8,0.984,6,20,8.462,37.19252163800047,74.53411149899894
HTP,200,1000,36,500,485,15,0.97,6,20,9.222,37.7051575330006,75.56143794188498
HTP,200,1000,38,500,475,25,0.95,6,20,9.714,38.3022569650002,76.75802998998036
HTP,200,1000,40,500,462,38,0.924,6,20,10.57,39.01641090999965,78.18920022044018
HTP,200,1000,42,500,443,57,0.886,6,20,11.316,40.064685895000366,80.28995169338751
HTP,200,1000,44,500,413,87,0.826,7,21,12.612,41.57406684000034,83.31476320641352
HTP,200,1000,46,500,410,90,0.82,8,20,13.128,42.489926991000175,85.15015429058151
HTP,200,1000,48,500,347,153,0.694,8,24,14.514,43.87075363799977,87.91734195991938
HTP,200,1000,50,500,324,176,0.648,8,21,15.384,45.154963358000714,90.49090853306757
HTP,200,1000,52,500,280,220,0.56,9,22,16.388,45.960509112999716,92.10522868336616
HTP,200,1000,54,500,233,267,0.466,9,23,17.33,46.82204902000012,93.83176156312649
HTP,200,1000,56,500,149,351,0.298,9,22,18.372,48.09649123100007,96.38575396994003
HTP,200,1000,58,500,121,379,0.242,10,23,18.884,49.226620916000684,98.65054291783704
HTP,200,1000,60,500,82,418,0.164,10,24,19.27,50.2410566489998,100.68348025851664
HTP,200,1000,64,500,36,464,0.072,11,22,19.746,52.866809398999976,105.94550981763523
HTP,200,1000,68,500,7,493,0.014,15,20,19.962,54.6577977070001,109.53466474348717
HTP,200,1000,72,500,4,496,0.008,17,23,19.996,56.115275008000026,112.4554609378758
HTP,200,1000,76,500,0,500,0.0,20,20,20.0,57.646987889999764,115.52502583166286
HTP,200,1000,80,500,0,500,0.0,20,20,20.0,59.54100558099981,119.32065246693348
HTP,200,1000,84,500,0,500,0.0,20,20,20.0,61.70157054000083,123.65044196392952
HTP,200,1000,88,500,0,500,0.0,20,20,20.0,63.68673990200023,127.62873727855757
HTP,200,1000,92,500,0,500,0.0,20,20,20.0,65.91027282599953,132.0847150821634
HTP,200,1000,96,500,0,500,0.0,20,20,20.0,68.38108365900007,137.03623979759533
HTP,200,1000,100,500,0,500,0.0,20,20,20.0,71.34608160900007,142.978119456914
NHTP,200,1000,1,500,500,0,1.0,1,1,1.0,20.725119204999828,41.533305020039734
NHTP,200,1000,2,500,500,0,1.0,2,3,2.07,20.467177029000595,41.01638683166452
NHTP,200,1000,3,500,500,0,1.0,2,4,2.212,20.436282031999326,40.95447301001869
NHTP,200,1000,4,500,500,0,1.0,2,4,2.398,20.544239363999623,41.17082036873672
NHTP,200,1000,6,500,500,0,1.0,2,5,2.862,21.702942658999746,43.49287106011973
NHTP,200,1000,8,500,500,0,1.0,2,5,3.234,22.826461513999675,45.74441185170276
NHTP,200,1000,10,500,500,0,1.0,2,6,3.604,20.458598849999362,40.99919609218309
NHTP,200,1000,12,500,500,0,1.0,2,6,3.952,20.668502649000402,41.41984498797676
NHTP,200,1000,14,500,500,0,1.0,3,6,4.23,20.545168275000833,41.17268191382932
NHTP,200,1000,16,500,500,0,1.0,3,6,4.474,20.77974025399999,41.64276604008014
NHTP,200,1000,18,500,500,0,1.0,3,7,4.772,21.003533871999934,42.09125024448885
NHTP,200,1000,20,500,500,0,1.0,4,7,5.016,21.101286069000707,42.28714643086314
NHTP,200,1000,22,500,500,0,1.0,4,7,5.282,21.355265330000293,42.79612290581221
NHTP,200,1000,24,500,500,0,1.0,4,8,5.544,21.441201573999933,42.96833982765518
NHTP,200,1000,26,500,500,0,1.0,4,8,5.74,21.538669510000545,43.16366635270651
NHTP,200,1000,28,500,500,0,1.0,4,8,5.984,21.64488985600019,43.37653277755549
NHTP,200,1000,30,500,500,0,1.0,4,9,6.322,21.956031007999627,44.000062140279816
NHTP,200,1000,32,500,500,0,1.0,5,8,6.564,22.10698159399999,44.30256832464928
NHTP,200,1000,34,500,500,0,1.0,5,10,6.836,22.35382888100048,44.79725226653403
NHTP,200,1000,36,500,500,0,1.0,5,12,7.178,22.7197828569997,45.53062696793527
NHTP,200,1000,38,500,500,0,1.0,5,12,7.524,26.0021262930004,52.10846952505091
NHTP,200,1000,40,500,496,4,0.992,5,20,8.04,27.117930636999517,54.34455037474853
NHTP,200,1000,42,500,493,7,0.986,6,20,8.426,29.810194286000296,59.73986830861783
NHTP,200,1000,44,500,487,13,0.974,6,20,9.048,30.41707671200038,60.95606555511098
NHTP,200,1000,46,500,479,21,0.958,6,20,9.728,31.34902758899989,62.82370258316611
NHTP,200,1000,48,500,452,48,0.904,7,21,10.816,32.5206607429991,65.17166481562946
NHTP,200,1000,50,500,423,77,0.846,7,20,12.012,33.9195387689997,67.97502759318577
NHTP,200,1000,52,500,396,104,0.792,7,20,12.978,34.47672459499972,69.09163245490926
NHTP,200,1000,54,500,348,152,0.696,7,21,14.324,35.8860663129999,71.91596455511002
NHTP,200,1000,56,500,282,218,0.564,7,20,15.776,37.444814344000406,75.03970810420923
NHTP,200,1000,58,500,230,270,0.46,8,23,16.672,38.80394849499953,77.76342383767441
NHTP,200,1000,60,500,160,340,0.32,8,26,17.928,40.330967504,80.82358217234469
NHTP,200,1000,64,500,68,432,0.136,10,22,19.326,43.120468281000285,86.41376409018093
NHTP,200,1000,68,500,17,483,0.034,13,21,19.878,45.75916240799961,91.70172827254432
NHTP,200,1000,72,500,6,494,0.012,11,22,19.962,48.046362927999326,96.28529644889645
NHTP,200,1000,76,500,1,499,0.002,20,22,20.004,49.16944713099929,98.53596619438736
NHTP,200,1000,80,500,0,500,0.0,20,20,20.0,51.0380088640004,102.28057888577236
NHTP,200,1000,84,500,0,500,0.0,20,20,20.0,53.27589097500004,106.76531257515038
NHTP,200,1000,88,500,0,500,0.0,20,20,20.0,54.894239385999754,110.00849576352655
NHTP,200,1000,92,500,0,500,0.0,20,20,20.0,57.16527767600019,114.55967470140318
NHTP,200,1000,96,500,0,500,0.0,20,20,20.0,60.18007125399981,120.60134519839642
NHTP,200,1000,100,500,0,500,0.0,20,20,20.0,62.87759715099946,126.0072087194378
SP,200,1000,1,500,500,0,1.0,1,1,1.0,20.54923196600066,41.18082558316766
SP,200,1000,2,500,500,0,1.0,1,2,1.288,20.291889398999956,40.66510901603198
SP,200,1000,3,500,500,0,1.0,1,3,1.658,20.352208076000352,40.785988128257216
SP,200,1000,4,500,500,0,1.0,1,3,1.862,20.37851913600025,40.83871570340732
SP,200,1000,6,500,500,0,1.0,1,4,2.3,20.398715425000773,40.879189228458465
SP,200,1000,8,500,500,0,1.0,1,4,2.522,20.33656999699997,40.75464929258511
SP,200,1000,10,500,500,0,1.0,2,5,2.802,20.626770519000274,41.33621346493041
SP,200,1000,12,500,500,0,1.0,2,5,3.052,20.75545715699991,41.5941025190379
SP,200,1000,14,500,500,0,1.0,2,5,3.192,20.822191997999653,41.727839675350005
SP,200,1000,16,500,500,0,1.0,2,5,3.402,20.930355821000376,41.94460084368813
SP,200,1000,18,500,500,0,1.0,2,5,3.564,21.220514211999216,42.52608058516877
SP,200,1000,20,500,500,0,1.0,2,6,3.724,24.487669952999568,49.073486879758654
SP,200,1000,22,500,500,0,1.0,2,6,3.868,25.50283442499949,51.10788461923746
SP,200,1000,24,500,500,0,1.0,3,6,4.086,26.472633590999976,53.05136992184364
SP,200,1000,26,500,500,0,1.0,3,6,4.246,26.740981772999476,53.58914182965827
SP,200,1000,28,500,500,0,1.0,3,6,4.368,27.640002484999968,55.39078654308611
SP,200,1000,30,500,500,0,1.0,3,6,4.61,28.417604503999428,56.94910722244374
SP,200,1000,32,500,500,0,1.0,3,7,4.736,29.172779704000277,58.46248437675406
SP,200,1000,34,500,500,0,1.0,3,7,4.828,29.612879430999783,59.344447757514594
SP,200,1000,36,500,500,0,1.0,4,7,4.988,30.289072955999472,60.69954500200295
SP,200,1000,38,500,500,0,1.0,3,7,5.192,30.971376313999826,62.06688640080125
SP,200,1000,40,500,500,0,1.0,4,8,5.372,32.152690154000084,64.43424880561139
SP,200,1000,42,500,500,0,1.0,4,8,5.558,33.08737019699947,66.30735510420736
SP,200,1000,44,500,500,0,1.0,4,9,5.758,34.063586757999474,68.26370091783461
SP,200,1000,46,500,498,2,0.996,4,200,6.734,36.8015527309999,73.75060667535051
SP,200,1000,48,500,494,6,0.988,4,200,8.582,42.288837790998514,84.74716992184071
SP,200,1000,50,500,489,11,0.978,4,200,10.81,49.51244050199966,99.22332765931796
SP,200,1000,52,500,479,21,0.958,5,200,14.946,59.15589880299922,118.54889539679202
SP,200,1000,54,500,449,51,0.898,5,200,27.004,93.05888138400041,186.49074425651386
SP,200,1000,56,500,418,82,0.836,5,200,39.308,123.72293354099929,247.94175058316492
SP,200,1000,58,500,368,132,0.736,5,200,58.674,182.19715286999963,365.12455484969865
SP,200,1000,60,500,311,189,0.622,5,200,80.914,252.63209914000072,506.27675178356856
SP,200,1000,64,500,213,287,0.426,5,200,119.058,391.26822334999997,784.1046560120241
SP,200,1000,68,500,86,414,0.172,7,200,167.442,565.172738796,1132.61069898998
SP,200,1000,72,500,35,465,0.07,7,200,186.974,684.7208779000011,1372.1861280561145
SP,200,1000,76,500,4,496,0.008,9,200,198.53,789.0152218870007,1581.1928294328673
SP,200,1000,80,500,1,499,0.002,14,200,199.628,857.061165571,1717.557446034068
SP,200,1000,84,500,0,500,0.0,200,200,200.0,908.9546440739996,1821.552392933867
SP,200,1000,88,500,0,500,0.0,200,200,200.0,974.8170389549996,1953.54116023046
SP,200,1000,92,500,0,500,0.0,200,200,200.0,1052.273065714,2108.763658745491
SP,200,1000,96,500,0,500,0.0,200,200,200.0,1120.3148315359995,2245.119902877754
SP,200,1000,100,500,0,500,0.0,200,200,200.0,1170.654817136001,2346.001637547096
CoSaMP,200,1000,1,500,500,0,1.0,1,1,1.0,20.500777356999606,41.083722158315844
CoSaMP,200,1000,2,500,500,0,1.0,1,3,1.714,20.437221383999713,40.95635547895734
CoSaMP,200,1000,3,500,500,0,1.0,1,4,2.27,20.436329317002674,40.95456776954444
CoSaMP,200,1000,4,500,500,0,1.0,1,4,2.578,20.42512591799823,40.93211606813273
CoSaMP,200,1000,6,500,500,0,1.0,2,5,3.028,20.480067594999127,41.04221962925677
CoSaMP,200,1000,8,500,500,0,1.0,2,5,3.278,20.78880936099813,41.66094060320266
CoSaMP,200,1000,10,500,500,0,1.0,2,5,3.512,20.94878814399999,41.98153936673345
CoSaMP,200,1000,12,500,500,0,1.0,2,6,3.742,21.22276857700126,42.53059835070393
CoSaMP,200,1000,14,500,500,0,1.0,2,6,3.888,24.769366706001165,49.63800943086406
CoSaMP,200,1000,16,500,500,0,1.0,3,6,4.07,25.838686316001258,51.78093450100452
CoSaMP,200,1000,18,500,500,0,1.0,3,6,4.256,26.643448556002113,53.39368448096616
CoSaMP,200,1000,20,500,500,0,1.0,3,6,4.402,27.408219875000214,54.92629233466977
CoSaMP,200,1000,22,500,500,0,1.0,3,7,4.548,28.25840776699988,56.6300756853705
CoSaMP,200,1000,24,500,500,0,1.0,3,7,4.778,29.218462566997914,58.554033200396624
CoSaMP,200,1000,26,500,500,0,1.0,3,7,4.95,30.011316473002807,60.14291878357276
CoSaMP,200,1000,28,500,500,0,1.0,3,7,5.102,30.96659531700061,62.0573052444902
CoSaMP,200,1000,30,500,500,0,1.0,4,8,5.344,32.203501205000066,64.53607455911838
CoSaMP,200,1000,32,500,500,0,1.0,3,9,5.552,33.60596475100101,67.34662274749702
CoSaMP,200,1000,34,500,499,1,0.998,4,200,6.148,36.08266301399999,72.30994591983966
CoSaMP,200,1000,36,500,500,0,1.0,4,10,6.108,36.42459643700204,72.99518324048505
CoSaMP,200,1000,38,500,500,0,1.0,4,14,6.552,37.145735472000524,74.44035164729564
CoSaMP,200,1000,40,500,499,1,0.998,4,200,7.748,40.616628353000124,81.39604880360746
CoSaMP,200,1000,42,500,497,3,0.994,5,200,9.314,45.784837751998566,91.7531818677326
CoSaMP,200,1000,44,500,490,10,0.98,5,200,13.346,54.824460727999394,109.86865877354587
CoSaMP,200,1000,46,500,482,18,0.964,6,200,18.198,69.05857658999957,138.3939410621234
CoSaMP,200,1000,48,500,459,41,0.918,6,200,32.102,108.30502542300019,217.0441391242489
CoSaMP,200,1000,50,500,444,56,0.888,7,200,44.694,149.9394331859985,300.4798260240451
CoSaMP,200,1000,52,500,411,89,0.822,7,200,64.246,213.54501087800236,427.94591358317103
CoSaMP,200,1000,54,500,382,118,0.764,9,200,82.306,275.0415383060026,551.1854475070193
CoSaMP,200,1000,56,500,348,152,0.696,9,200,102.834,353.7220631220007,708.8618499438891
CoSaMP,200,1000,58,500,342,158,0.684,11,200,114.052,412.2575538339988,826.1674425531039
CoSaMP,200,1000,60,500,323,177,0.646,19,200,136.12,508.36044437799865,1018.7584055671316
CoSaMP,200,1000,64,500,0,500,0.0,200,200,200.0,805.6840432329991,1614.597281028054
CoSaMP,200,1000,68,500,0,500,0.0,200,200,200.0,847.6922974119989,1698.7821591422824
CoSaMP,200,1000,72,500,0,500,0.0,200,200,200.0,878.0849374239988,1759.6892533547068
CoSaMP,200,1000,76,500,0,500,0.0,200,200,200.0,902.575945831999,1808.769430525048
CoSaMP,200,1000,80,500,0,500,0.0,200,200,200.0,929.3299551300006,1862.3846796192397
CoSaMP,200,1000,84,500,0,500,0.0,200,200,200.0,958.3381366180001,1920.5173078517037
CoSaMP,200,1000,88,500,0,500,0.0,200,200,200.0,983.2527662049979,1970.446425260517
CoSaMP,200,1000,92,500,0,500,0.0,200,200,200.0,1009.051842285,2022.147980531062
CoSaMP,200,1000,96,500,0,500,0.0,200,200,200.0,1038.1096348259998,2080.3800297114226
CoSaMP,200,1000,100,500,0,500,0.0,200,200,200.0,1063.9033556029972,2132.070852911818
